Voting Place ID,Facility Name,Facility Address,Location ,Latitude,Longitude,Advance Only?,Local Area
1,Vancouver City Hall,453 12TH AVE W,Main Floor,49.26131589360,-123.1139357,NO,Mount Pleasant
2,King George Secondary School,1755 BARCLAY ST,Gymnasium,49.28991295920,-123.1360738,NO,West End
3,Lord Roberts Annex Elementary School,1150 NELSON ST,Gymnasium,49.28314421100,-123.1297377,NO,West End
4,Gathering Place Community Centre,609 HELMCKEN ST,Theatre,49.27796805780,-123.1235518,NO,Downtown
5,Elsie Roy Elementary School,150 DRAKE ST,Gymnasium,49.27214739800,-123.1226135,NO,Downtown
6,Crosstown Elementary School,55 EXPO BLVD,Gymnasium,49.27863093660,-123.106592,NO,Downtown
7,Lord Strathcona Elementary School,592 PENDER ST E,Cafeteria,49.27977979280,-123.0915462,NO,Strathcona
8,Ray-Cam Co-operative Centre,920 HASTINGS ST E,Gymnasium,49.28073960320,-123.0843025,NO,Strathcona
9,Grandview Elementary School,2055 WOODLAND DR,Gymnasium,49.26610986130,-123.0746117,NO,Grandview-Woodland
10,Sir William MacDonald Elementary School,1950 HASTINGS ST E,Gymnasium,49.28062415390,-123.0643232,NO,Grandview-Woodland
11,Hastings Elementary School,2625 FRANKLIN ST,Gymnasium,49.28252408460,-123.050642,NO,Hastings-Sunrise
12,Sir John Franklin Elementary School,250 SKEENA ST,Gymnasium,49.28254390460,-123.0270231,NO,Hastings-Sunrise
13,Chief Maquinna Elementary School,2684 2ND AVE E,Gymnasium,49.26803100760,-123.0507999,NO,Hastings-Sunrise
14,John Norquay Elementary School,4710 SLOCAN ST,Large Gymnasium,49.24149652560,-123.0511285,NO,Renfrew-Collingwood
15,Renfrew Elementary School,3315 22ND AVE E,Gymnasium,49.25074938460,-123.0319542,NO,Renfrew-Collingwood
16,Dr. H. N. MacCorkindale Elementary School,6100 BATTISON ST,Gymnasium,49.22774304570,-123.0293788,NO,Killarney
17,Killarney Community Centre,6260 KILLARNEY ST,Gymnasium,49.22740992540,-123.0443906,NO,Killarney
18,Champlain Heights Annex Elementary School,7835 CHAMPLAIN CRES,Gymnasium,49.21407016150,-123.0306622,NO,Killarney
19,David Oppenheimer Elementary School,2421 SCARBORO AVE,Gymnasium,49.21364397370,-123.0579581,NO,Victoria-Fraserview
20,David Thompson Secondary School,1755 55TH AVE E,Cafeteria,49.22088896450,-123.0705456,NO,Victoria-Fraserview
21,Pierre Elliott Trudeau Elementary School,449 62ND AVE E,Gymnasium,49.21457405290,-123.0960898,NO,Sunset
22,John Oliver Secondary School,530 41ST AVE E,Girls Gymnasium,49.23197930840,-123.0926825,NO,Sunset
23,Tecumseh Annex Elementary School,1551 37TH AVE E,Gymnasium,49.23721791840,-123.0735951,NO,Kensington-Cedar Cottage
24,Lord Selkirk Elementary School,1750 22ND AVE E,Gymnasium,49.24967958660,-123.0687764,NO,Kensington-Cedar Cottage
